Time,Tendon Disp.,Motor Curr.,Pos x,Pos y,Pos z,Angle x,Angle y,Angle z
0,0,57.78894,157.3784,15.2908,-13.2842,30,5.703,16.376
0.002052546,0.001097533,57.68769,157.3784,15.2908,-13.2842,30.00308,5.703,16.376
0.003988504,0.002132725,57.59218,157.3784,15.2908,-13.2842,30.00598,5.703,16.376
0.006095171,0.003259197,57.48825,157.3784,15.2908,-13.21325,30.01089,5.698112,16.376
0.008382797,0.004482432,57.37539,157.3784,15.2908,-13.1826,30.01715,5.699226,16.37277
0.01004243,0.005369867,57.29352,157.3784,15.2908,-13.1826,30.022,5.703,16.369
0.01195717,0.006393712,57.19906,157.3784,15.2908,-13.1826,30.022,5.703,16.369
0.01407671,0.007527069,57.0945,157.3784,15.2908,-13.20995,30.02442,5.703,16.369
0.01625371,0.008551297,57,157.3784,15.2908,-13.26524,30.02932,5.703,16.369
0.01858521,0.008551297,57,157.3784,15.2908,-13.2842,30.0347,5.703,16.369
0.02029014,0.008551297,57,157.3784,15.2908,-13.2842,30.03887,5.703,16.369
0.02207732,0.008551297,57,157.3784,15.2908,-13.2842,30.04415,5.703108,16.369
0.02423716,0.008551297,57,157.3784,15.2908,-13.2842,30.04847,5.706132,16.369
0.02620173,0.008551297,57,157.3784,15.2908,-13.2842,30.0524,5.708882,16.369
0.02801156,0.008551297,57,157.3784,15.2908,-13.2842,30.05402,5.71,16.369
0.03002286,0.008551297,57,157.3784,15.2908,-13.2842,30.05703,5.71,16.369
0.03191519,0.008551297,57,157.3784,15.2908,-13.2842,30.05987,5.71,16.369
0.03395844,0.008551297,57,157.3784,15.2908,-13.2842,30.06588,5.71,16.369
0.0359416,0.008551297,57,157.3784,15.2908,-13.2842,30.069,5.71,16.369
0.03866911,0.008551297,57,157.3784,15.2908,-13.26154,30.07056,5.71,16.369
0.0432868,0.008551297,57,157.3784,15.2908,-13.1826,30.08115,5.71,16.369
0.04432988,0.008551297,57,157.3784,15.2908,-13.1826,30.08349,5.71,16.369
0.04636788,0.008551297,57,157.3784,15.2908,-13.1826,30.08774,5.713192,16.36626
0.04808044,0.008551297,57,157.3784,15.2908,-13.18532,30.091,5.717,16.363
0.0500803,0.008551297,57,157.3784,15.2908,-13.25305,30.091,5.717,16.363
0.05218506,0.008551297,57,157.3784,15.2908,-13.2842,30.09396,5.717,16.363
0.05408311,0.008551297,57,157.3784,15.2908,-13.2842,30.09871,5.717,16.363
0.05623078,0.008551297,57,157.3784,15.2908,-13.24252,30.10346,5.717,16.363
0.05927277,0.008551297,57,157.3784,15.2908,-13.1826,30.107,5.717,16.363
0.05995774,0.008551297,57,157.3784,15.2908,-13.1826,30.107,5.717,16.363
0.06253338,0.008551297,57,157.3784,15.34273,-13.1826,30.1116,5.717,16.363
0.06397247,0.008551297,57,157.3784,15.39146,-13.1826,30.11592,5.717,16.363
0.06590819,0.008551297,57,157.3784,15.3924,-13.1826,30.11934,5.717,16.363
0.06806564,0.008551297,57,157.3784,15.3924,-13.1826,30.123,5.717,16.363
0.07004309,0.008551297,57,157.3784,15.3924,-13.1826,30.12425,5.717,16.363
0.07226682,0.008551297,57,157.3784,15.3924,-13.1826,30.12692,5.717,16.363
0.07441998,0.008551297,57,157.3784,15.3924,-13.1826,30.12994,5.717,16.36279
0.07637358,0.008551297,57,157.3784,15.3924,-13.1826,30.13434,5.717,16.36181
